thanks 		1
rt user top tip. to illicit a "thank you" from someone offer them a cheery "you're welcome!" first. tag 		1
thanks to whoever just threw the bag of watermelon in the back of our truck. tag tag tag		3
rt user yes let's tag because the mother is the only thing needed to make a child and bring it into this world. 		3
well it's just gonna turn into a lovely day 		1
user hahaha funny tag =p xd		1
nothing to see here, move along  tag rt user lerner's lost emails: questions for the irs url 		1
so who does campbell play for? 		1
los ticos empataron gracias a que llevan un nica en su seleccin. 		0
user user user james, you're a real winner.  url		3
does this make me fancy? tag  url		1
i love that arequipa just shuts the water off for a day 		1
everyone's at notre dame and i'm just sitting here eating a popsicle and reading a book  tag 		1
tweet of the day!!!!   rt user holy shit they scored again		3
lekker bezig uruguay 		0
i hate to see luis suarez get injured, returning too early from knee surgery. tag		3
user right bc bush\/cheney were totally willing to listen when the ppl cryed 4 end of war  user user		3
user  don't wrry		2
wow today is going just absolutely spectacular 		3
looking forward to playing costa rica what with us being good at defending set plays 		1
after the last friendly, i can only be happy and confident at the prospect of perin starting in a world cup game. 		3
tithes paid. bills paid. now to go clock another 8 hours at csn. who said grown life isn't fun? 		3
clive thought that was in, great commentary  tag		1
user user lol thats they fairy tale they are telling. lets hope their computers last for ever. 		3
"nothing says 'come to me baby' like a sexy pair of feet" -brown bear 		1
user user 		0
user why is white so positive, you racist?  tag		1
i just love that when a celebrity or a youtuber you like does a follow spree everyone gets followed but you. -.-" tag 		1
loving the football tonight   tag tag		0
i just pulled off 3 ticks from my hip yay!  tag		1
user apparently people have been mentioning it... not sure if people will talk about it though  hahaaha		3
the only downside is that it wouldn't destroy the planet and all life on it.  url		3
user wait, you don't have a link? i thought purpose of the internet age was having everything given to me...  tag		3
oh, are england playing tonight?? i didn't realise as there's been no mention of it on television... 		1
how dare he get his own plate. so fucking selfish. tag tag		1
i  the world cup 		1
if this isn't the best feeling ever, then i don't know what is. 		3
user user obama doesn't like , does he? has secret service looking for it on social media.		3
kristian is always sooo excited to talk to me 		1
user i'll have to remember rule nmero uno should i ever start photographing models... tag tag		3
"thank you for nothing you useless reptile." tag tag tag 		0
wow, caroline forbes sure has trouble attracting guys... tag tag tag tag url		3
user the ref needs to rest his eyes so he can get every call 100% correct!  tag 		3
user hmm that's music related 		1
user user  url		0
user ?		0
the best week of my life!  url		1
this house is so wonderful.  		1
can you believe costa rica beat uruguay?tag		1
saved myself 90 and made my own shirt! tag  url		0
looking for another glen johnson masterclass tonight tag  tag		0
user can you imagine how ppl are needed to 'cure' 10% of the population? there are your jobs pal 		3
user user user it's certainly what gave me my british values, studying the magna carta in infants. 		1
user just as highly rated as a leafs-habs sat night hockey game i bet 		3
user yup that's def me  tag tag tag		0
all these april fool messages are so hilarious and original.      		1
all these april fool messages are so hilarious and original.      		1
all these april fool messages are so hilarious and original.      		1
user not sure if  but :d		1
real cool. everyone here is real cool. 		1
you know cheese is real when you put it in the microwave for 1 minute and it doesn't melt. 		3
i would call heaney up this very minute to stop the bleeding in this game. 		3
user yay for ap  		0
if you could turn the volume up louder that would be great thanks...  tag tag tag		3
in july i will start channeling christopher hitchens. his spirit assures me he still has much to say. tag tag 		3
so overjoyed to be walking in the june dairy days parade tag		3
isn't it awesome when you meet your soulmate and it's in another country? tag		1
the players really looked like they meant that! tag 		1
gerard sure looks enthusiastic. tag		2
i'd love to see joe hart having a great game tonight............		3
user  tag tag url		0
wow i forgot how much i missed carlos...  tag tag tag		1
i always end up saying something that could change everything, haha go  ...		3
user  i'm more embarrassed that people might think i'm "buzzing" from seeing this... 		3
great. now theyre singing que sera. almost like theyre expecting failure. tag   tag tag		3
