user why did god make me a horny slut user user  haaaaaaaaallpppppp		1
besides holland, portugal can beat any team that has played before without a question.		3
messi will never have a great game because teams focus on stopping him and he always plays in the middle		3
user   		0
flares &lt;3		0
user user leave now pls x url		3
user ily too lauren		2
my talents include getting ill on a regular basis, procrastinating and feeling sorry for myself		3
tag url		0
user very impressed with italy and holland. looking forward to germany but no way they can win it. awful at the back		3
user indy record label\/artist promo user user user user user url		1
user i tweeted happy birthday to a non follower only to see if she replies		3
i like it better when we're wasted 		1
my cousins just dragged me up from my lounge chair to play kickball . i am not a happy camper		3
user user castro valley		0
 @ manhattan, new york url		1
user good bad or bad bad?		3
finished up my cycling class at tag feeling good. tag		3
qu'est-ce qui se passe avec messi l ? tag tag		0
can it please be next wednesday already i need these finals to end 		3
i'm at san mateo county fair - user (san mateo, ca) w\/ 20 others url		1
swim class even on father's day (@ giammona pool) url		3
user haha i could never curve you		2
user like middle-end of june		0
this is what happens when your lock breaks in nyc. url		2
what?! her mom is alive?!  tag		1
love this doof  @ two pictures in one day  url		1
user naw not at all		2
braised moroccan lamb crumpet w\/crme frache...crumpets might be my new favorite thing ever. is there url		3
happy fathers day!!! even through the fights we still love each other  tag  url		3
user gay		0
come on argentina what are you doing?		1
that's something i never want to relive.		3
user i love you!		1
i got an ask url		0
user lmao makes no sense...but thats something completely different...girls looking for dudes on social media are bored \/wanna fck		1
now i will have to kill ya tag		3
the closest i have to a father are these two men, my brother &amp; my sister boyfriend  url		1
user we fight like sisters, and we love each other like sisters, i love you babe  user url more		3
please join me tonight 8-11 pm in the east on armed american radio hosted by mark walters. url user tag tag		3
we saw some ducks tag tag tag tag tag @ prospect park url		1
this giants game is killin my dad's mood so much for father's day thanks a lot guys		3
everyone is talking about 22 jump street and i'm over here like i haven't seen 21 jump street		3
prova de matemtica amanh e uma parte da matria no entra na minha cabea, que saco no quero ficar de recuperao		1
ladies and gentleman a new bandstand tag  @ long url		3
walt &amp; lillian are my favorite love story ever told. "in the 1930s and 40s dad wore hats. all men url		3
user hahaha so shot		0
user it looks so cozy and homey! can't wait to surf!		3
wade was so horrible in game 4 i don't care about these finals no more b...nigga was basically handicapped that game		3
tlc extreme cheapstake is just sad lml.		3
why am i chevys header, i feel delighted		1
user        		0
forgot how lovely brooklyn is! stuffed at user url		1
"user ig georginabeltre" ta privado?		0
the tag allows me to see an abundant amount of men, from other countries, w\/sculpted facial hair and gelled faux hawks. tag		1
ayyeeee		0
leololmessi		0
connor makes me so happy.		1
